,Ticker,Date,시가총액(억),보유비중(%),거래비중(%),보유자수(명),내부보유금액(억),24시간 순입금(억),전일대비유통량증감(%),24시간 거래금액(억),체결강도(%),가격,빗썸유통비율(%),거래금액/내부보유금액(%),순입금/내부보유금액(%),1주일 상승률(%),1개월 상승률(%),3개월 상승률(%)
0,BTC,2024/04/02,17747441.0,4,24,1421550,37887.65,343.5,0.67,1898.7,65.33,96502000,0.21,5.01,0.91,-3.46,4.74,64.74
1,ETH,2024/04/02,5462095.0,4,35,757172,13515.29,76.0,0.44,597.2,95.98,4862000,0.25,4.42,0.56,-4.32,-1.19,59.46
2,ETC,2024/04/02,60955.0,6,31,572127,2717.35,6.2,0.08,144.5,62.21,44540,4.46,5.32,0.23,-2.51,-6.78,62.97
3,XRP,2024/04/02,445264.0,3,16,1356769,13401.3,148.7,0.25,1064.1,100.78,866,3.01,7.94,1.11,-2.03,-5.25,10.31
4,BCH,2024/04/02,161026.0,5,32,499900,2022.05,8.1,0.26,365.5,72.46,872000,1.26,18.08,0.4,13.24,36.03,173.18
5,QTUM,2024/04/02,6022.0,5,46,499340,465.05,0.5,0.15,30.3,72.08,6135,7.72,6.52,0.11,-7.88,-23.59,40.71
6,BTG,2024/04/02,10920.0,18,51,457059,553.55,0.25,0.01,83.0,102.46,62300,5.07,14.99,0.05,-7.15,17.99,137.33
7,EOS,2024/04/02,14997.0,7,49,672181,1112.27,0.22,0.18,56.0,109.6,1429,7.42,5.03,0.02,-6.84,-6.6,37.14
8,ICX,2024/04/02,4270.0,14,43,115874,88.34,-0.09,0.19,8.8,73.01,462,2.07,9.96,-0.1,-7.6,0.43,36.28
9,TRX,2024/04/02,139650.0,6,39,442492,596.5,-2.3,-0.55,69.2,128.79,170,0.43,11.6,-0.39,-1.16,-13.26,17.24
10,ELF,2024/04/02,5800.0,51,52,102155,61.99,-0.3,-0.01,1.6,133.47,855,1.07,2.58,-0.48,-6.76,-12.66,19.24
11,KNC,2024/04/02,1973.0,19,56,89241,49.47,-0.33,0.32,5.0,73.57,1126,2.51,10.11,-0.67,-13.31,-1.48,25.52
12,GLM,2024/04/02,7593.0,19,43,96962,58.1,-0.08,-0.04,17.0,87.99,810,0.77,29.26,-0.14,0.49,-15.0,154.71
13,ZIL,2024/04/02,7890.0,17,39,116474,105.22,4.4,-0.64,21.2,81.51,0,1.33,20.15,4.18,-5.67,7.11,52.75
14,WAXP,2024/04/02,4185.0,12,49,91299,111.13,-0.56,0.5,18.0,80.03,125,2.66,16.2,-0.5,-13.19,8.69,42.85
15,POWR,2024/04/02,2513.0,16,48,76733,62.54,0.42,0.5,6.1,75.98,525,2.49,9.75,0.67,-11.31,-2.41,-25.84
16,LRC,2024/04/02,6385.0,24,51,68300,79.69,-2.0,-0.59,9.4,75.17,498,1.25,11.8,-2.51,-12.47,7.55,36.06
